"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,23023290000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,7301.425191436380200425144245368964470092,,0.2976771522927421803826298208320680230806,0.2500488079259034315214090494989371393876
108883,15,KERN,MD,MOJAVE DESERT,KER,EASTERN KERN APCD,23021890500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,38.68812632857576677801396902520498026101,,0.001577304563298098776011658880675349814953,0.001324935833170402971849793459767293844561
108883,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,23021890200000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,443.836974,,0.0180951147260273972602739726027397260276,0.0151998963698630136986301369863013698632
108883,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,23021890500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,179.162082235044032796841785605830549651,,0.007304390175923191160993223483603659069285,0.006135687747775480575234307726227073618197
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,32032816100000,320,PETROLEUM REFINING,SP,14.43653107344632768361581920903954802261,,0.000588573510822175786187859556793849805229,0.000494401749090627660397802027706833836393
108883,56,VENTURA,SCC,SOUTH CENTRAL COAST,VEN,VENTURA COUNTY APCD,33032616100000,330,PETROLEUM MARKETING,SP,0.000112,,0.000000004566210045662100456621004566210045662108,0.00000000383561643835616438356164383561643835617
108883,48,SOLANO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,31032610000000,310,OIL AND GAS PRODUCTION,SP,0.106372924,,0.00000433679566210045662100456621004566210047,0.0000036429083561643835616438356164383561644
108883,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,33037811000000,330,PETROLEUM MARKETING,SP,209.115010386,,0.008525563045743639921722113502935420743656,0.00716147295842465753424657534246575342467
108883,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,24024083020000,240,PRINTING,SP,5.086656726,,0.000207381634295499021526418786692759295501,0.000174200572808219178082191780821917808219
108883,10,FRESNO,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,24024083020000,240,PRINTING,SP,5.488719594,,0.000223773629892367906066536203522504892367,0.00018796984910958904109589041095890410959
108883,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,24024080000000,240,PRINTING,SP,0.05202,,0.00000212084148727984344422700587084148727986,0.00000178150684931506849315068493150684931507
108883,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,24024080000000,240,PRINTING,SP,2.46,,0.000100293542074363992172211350293542074365,0.00008424657534246575342465753424657534246622
108883,51,SUTTER,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,33031600100000,330,PETROLEUM MARKETING,SP,3.44911333785310734463276836158192090395,,0.000140619428320821401852281815132987642855,0.000118120319789489977555916724711709619999
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,32032410000000,320,PETROLEUM REFINING,SP,0.6042937853107344632768361581920903954804,,0.00002463689600908082449758790599282821247077,0.0000206949926476278925779738410339756984754
108883,56,VENTURA,SCC,SOUTH CENTRAL COAST,VEN,VENTURA COUNTY APCD,12012202420000,120,LANDFILLS,SP,12193.1081136,,0.4971097567514677103718199608610567514702,0.4175721956712328767123287671232876712349
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,14099503000000,140,SOIL REMEDIATION,SP,0.023021142,,0.0000009385658023483365949119373776908023483394,0.000000788395273972602739726027397260273972605
108883,19,LOS ANGELES,MD,MOJAVE DESERT,AV,ANTELOPE VALLEY AQMD,49999500000000,499,OTHER (INDUSTRIAL PROCESSES),SP,2202.273027483538505582593758946464357284,,0.0897860823338037551199687605571780967586,0.0754203091603951543007737588680296012772
108883,40,SAN LUIS OBISPO,SCC,SOUTH CENTRAL COAST,SLO,SAN LUIS OBISPO COUNTY APCD,11011003000000,110,SEWAGE TREATMENT,SP,2.58421331805318,,0.000105357685830609099804305283757338551859,0.00008850045609771164383561643835616438356192
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,12012202400000,120,LANDFILLS,SP,2885.127272727272727272727272727272727276,,0.1176258672834015299768724426258672834023,0.0988057285180572851805728518057285180578
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,19919000100000,199,OTHER (WASTE DISPOSAL),SP,1111.168025231983749825492112243473404997,,0.045302023207435736701952548607447545866,0.0380536994942460188296401408302559385275
